,af,mm,rain,sun,tmax,tmin,yyyy
1356,9,1,57.0,5.8,5.0,2.1,1996
1357,16,2,75.1,54.3,5.0,0.0,1996
1358,5,3,52.9,38.6,5.9,1.7,1996
1359,4,4,37.7,114.3,12.8,4.7,1996
1360,0,5,39.1,169.6,13.0,5.3,1996
1361,0,6,29.8,244.5,19.3,9.6,1996
1362,0,7,24.5,254.6,21.5,11.9,1996
1363,0,8,101.1,199.5,21.5,12.3,1996
1364,0,9,27.1,111.4,16.8,9.9,1996
1365,0,10,70.6,119.7,14.4,7.9,1996
1366,8,11,134.3,89.8,8.2,3.2,1996
1367,11,12,98.2,39.1,5.0,0.6,1996
1368,15,1,8.5,51.4,5.2,0.2,1997
1369,1,2,106.5,81.6,9.5,3.9,1997
1370,1,3,22.0,152.1,12.1,5.0,1997
1371,0,4,28.2,137.0,13.2,5.1,1997
1372,0,5,77.5,252.3,16.3,6.7,1997
1373,0,6,130.9,136.5,17.6,10.2,1997
1374,0,7,56.7,244.4,21.7,12.7,1997
1375,0,8,108.6,201.5,23.3,14.1,1997
1376,0,9,17.5,148.4,17.3,10.2,1997
1377,3,10,55.8,117.4,13.0,6.4,1997
1378,0,11,93.1,24.6,10.4,6.1,1997
1379,3,12,79.4,36.2,8.2,3.9,1997
1380,5,1,88.5,46.3,7.1,2.5,1998
1381,4,2,9.3,102.2,11.2,5.1,1998
1382,2,3,93.5,91.9,11.2,4.8,1998
1383,2,4,117.9,125.7,10.9,4.4,1998
1384,0,5,26.6,199.3,17.0,8.5,1998
1385,0,6,152.4,141.7,17.5,10.5,1998
1386,0,7,36.5,172.0,19.2,12.1,1998
1387,0,8,46.2,210.6,20.1,11.9,1998
1388,0,9,49.2,96.6,17.7,11.1,1998
1389,1,10,197.9,99.1,13.0,7.2,1998
1390,2,11,49.5,68.9,8.4,3.6,1998
1391,6,12,57.9,42.4,8.3,2.4,1998
1392,5,1,90.8,66.9,8.1,2.7,1999
1393,7,2,44.7,92.0,8.0,2.4,1999
1394,1,3,82.8,140.8,10.7,4.2,1999
1395,3,4,91.6,152.9,13.4,5.8,1999
1396,0,5,51.0,181.9,17.5,9.0,1999
1397,0,6,61.0,188.5,18.3,10.2,1999
1398,0,7,30.1,227.9,22.5,13.4,1999
1399,0,8,75.4,129.7,19.9,12.1,1999
1400,0,9,113.7,190.7,20.2,11.5,1999
1401,0,10,55.3,123.1,13.8,7.8,1999
1402,1,11,48.2,70.7,10.1,5.2,1999
1403,8,12,135.6,60.6,7.1,1.9,1999
1404,2,1,49.8,75.9,7.8,2.7,2000
1405,4,2,72.0,93.5,8.9,3.3,2000
1406,3,3,43.3,133.0,10.9,4.2,2000
1407,1,4,153.3,124.6,11.7,4.2,2000
1408,0,5,63.9,189.6,16.4,7.6,2000
1409,0,6,46.6,151.9,19.0,11.2,2000
1410,0,7,68.5,142.5,18.8,11.4,2000
1411,0,8,46.3,195.9,21.2,12.4,2000
1412,0,9,117.8,116.7,18.1,10.8,2000
1413,0,10,139.5,87.6,13.1,7.1,2000
1414,2,11,167.9,51.9,9.1,4.0,2000
1415,9,12,118.0,42.0,7.0,3.3,2000
1416,15,1,42.1,59.1,5.3,0.3,2001
1417,11,2,79.4,96.4,7.7,0.8,2001
1418,8,3,56.2,100.5,8.0,1.6,2001
1419,0,4,80.1,106.2,11.3,4.0,2001
1420,0,5,58.0,208.7,17.8,7.7,2001
1421,0,6,43.9,160.0,18.4,10.1,2001
1422,0,7,57.5,185.1,21.4,13.2,2001
1423,0,8,111.9,181.1,20.9,12.8,2001
1424,0,9,67.3,84.9,15.8,10.1,2001
1425,0,10,113.0,115.0,15.9,10.2,2001
1426,2,11,27.0,54.0,10.5,4.7,2001
1427,14,12,28.0,71.5,6.3,0.9,2001
1428,8,1,55.9,38.2,8.2,2.5,2002
1429,1,2,173.9,95.2,9.8,3.8,2002
1430,1,3,34.7,122.4,11.1,4.1,2002
1431,1,4,40.7,176.2,13.9,5.0,2002
1432,0,5,60.9,183.8,16.3,8.4,2002
1433,0,6,30.9,197.3,19.1,10.9,2002
1434,0,7,133.8,165.3,20.1,12.0,2002
1435,0,8,83.4,141.0,21.2,13.4,2002
1436,0,9,49.7,132.7,17.8,10.6,2002
1437,0,10,145.3,79.7,12.6,6.8,2002
1438,0,11,111.1,36.6,10.0,5.5,2002
1439,5,12,129.8,28.6,6.4,3.2,2002
1440,8,1,60.7,54.3,6.9,2.5,2003
1441,15,2,30.8,87.8,6.6,0.0,2003
1442,3,3,38.4,157.7,12.0,3.1,2003
1443,3,4,44.6,193.9,14.7,5.1,2003
1444,0,5,42.6,203.7,16.8,8.5,2003
1445,0,6,111.1,215.1,21.0,12.1,2003
1446,0,7,44.9,171.0,21.9,13.5,2003
1447,0,8,14.0,187.6,22.4,13.4,2003
1448,0,9,22.7,164.6,19.2,9.6,2003
1449,0,10,48.2,115.0,12.6,6.0,2003
1450,3,11,55.4,57.0,10.7,5.1,2003
1451,9,12,81.8,54.1,7.5,1.9,2003
1452,4,1,106.5,46.2,7.4,3.0,2004
1453,9,2,50.8,92.6,8.1,3.0,2004
1454,2,3,41.3,98.1,9.9,3.6,2004
1455,0,4,107.0,132.5,13.5,6.4,2004
1456,0,5,49.0,210.7,16.9,8.3,2004
1457,0,6,68.5,194.5,20.0,11.8,2004
1458,0,7,45.8,167.9,19.9,12.4,2004
1459,0,8,181.0,179.4,21.3,13.6,2004
1460,0,9,34.6,168.0,18.1,11.3,2004
1461,0,10,88.2,94.3,13.1,7.4,2004
1462,3,11,36.2,52.1,10.2,5.5,2004
1463,6,12,46.3,69.1,8.3,3.2,2004
1464,2,1,48.0,48.1,8.5,3.4,2005
1465,5,2,64.6,77.3,6.7,2.1,2005
1466,3,3,31.7,64.6,9.7,4.6,2005
1467,1,4,82.6,154.4,12.9,4.8,2005
1468,0,5,17.5,243.8,15.8,7.3,2005
1469,0,6,42.2,194.9,20.3,11.4,2005
1470,0,7,84.0,178.0,20.6,13.1,2005
1471,0,8,39.9,206.7,20.7,12.2,2005
1472,0,9,89.2,157.9,18.9,11.3,2005
1473,0,10,113.1,62.6,15.3,10.4,2005
1474,9,11,57.4,98.7,9.5,3.4,2005
1475,9,12,56.7,64.6,7.3,2.2,2005
1476,1,1,18.6,36.4,6.4,2.4,2006
1477,9,2,48.5,68.0,6.3,1.4,2006
1478,13,3,100.2,95.0,7.7,1.5,2006
1479,1,4,49.4,167.3,11.8,4.8,2006
1480,0,5,85.0,188.1,15.8,7.4,2006
1481,0,6,9.8,171.7,21.6,11.8,2006
1482,0,7,40.9,290.8,25.6,14.5,2006
1483,0,8,90.5,157.4,19.6,12.8,2006
1484,0,9,62.4,165.6,20.5,12.6,2006
1485,0,10,99.1,102.3,15.5,9.7,2006
1486,1,11,66.8,107.3,11.2,5.3,2006
1487,2,12,114.0,55.9,8.8,4.2,2006
1488,4,1,146.9,68.4,9.6,4.3,2007
1489,6,2,57.5,84.4,8.6,3.6,2007
1490,1,3,44.5,149.4,10.2,4.1,2007
1491,0,4,5.8,206.1,15.8,7.4,2007
1492,0,5,83.8,142.6,15.6,8.2,2007
1493,0,6,285.6,154.5,18.6,11.2,2007
1494,0,7,113.0,178.5,18.8,12.2,2007
1495,0,8,27.1,221.8,19.7,12.2,2007
1496,0,9,28.1,158.5,17.6,10.5,2007
1497,0,10,23.3,109.4,14.0,8.1,2007
1498,2,11,58.3,75.6,10.3,5.0,2007
1499,8,12,74.9,39.4,7.2,2.4,2007
1500,2,1,154.0,43.6,9.0,3.9,2008
1501,9,2,48.7,121.2,9.1,1.4,2008
1502,3,3,98.8,137.8,9.1,2.7,2008
1503,2,4,79.2,126.8,11.4,4.4,2008
1504,0,5,43.5,186.7,17.5,8.6,2008
1505,0,6,56.7,198.1,18.7,10.7,2008
1506,0,7,108.7,202.6,20.8,13.0,2008
1507,0,8,82.6,141.1,20.1,13.4,2008
1508,0,9,92.4,111.7,17.0,10.8,2008
1509,0,10,93.2,129.5,12.8,7.2,2008
1510,3,11,60.0,53.1,9.0,4.9,2008
1511,4,12,52.8,60.3,6.1,2.2,2008
1512,8,1,47.0,59.8,5.7,1.3,2009
1513,11,2,39.6,60.5,6.7,2.3,2009
1514,2,3,44.2,161.7,10.9,4.0,2009
1515,0,4,51.0,142.3,14.6,6.0,2009
1516,0,5,81.7,216.0,16.4,8.0,2009
1517,0,6,168.2,183.4,19.2,10.9,2009
1518,0,7,113.4,199.7,20.4,12.6,2009
1519,0,8,46.4,194.5,21.0,13.3,2009
1520,0,9,26.8,151.1,18.0,10.9,2009
1521,0,10,50.0,99.9,14.4,8.5,2009
1522,0,11,161.6,73.8,10.4,5.8,2009
1523,13,12,66.1,53.1,5.2,1.3,2009
1524,14,1,48.6,59.7,3.4,0.1,2010
1525,11,2,53.6,42.4,4.4,0.2,2010
1526,8,3,56.4,130.6,9.9,3.0,2010
1527,0,4,24.8,171.8,13.8,5.1,2010
1528,0,5,21.2,187.9,15.2,7.1,2010
1529,0,6,41.2,214.2,20.4,11.0,2010
1530,0,7,68.3,142.1,21.0,13.5,2010
1531,0,8,39.6,172.9,19.5,11.7,2010
1532,0,9,67.8,131.5,17.8,10.8,2010
1533,0,10,65.4,116.8,13.3,7.3,2010
1534,6,11,112.7,70.2,7.4,3.0,2010
1535,20,12,18.8,51.4,2.7,-1.9,2010
1536,11,1,49.6,56.6,6.4,1.9,2011
1537,1,2,104.2,49.4,8.8,4.2,2011
1538,2,3,12.4,135.7,10.9,3.4,2011
1539,0,4,11.2,188.1,17.1,7.5,2011
1540,0,5,40.2,210.2,16.7,8.4,2011
1541,0,6,47.8,222.9,19.4,10.0,2011
1542,0,7,18.0,178.9,20.3,11.5,2011
1543,0,8,42.0,171.4,20.1,12.2,2011
1544,0,9,27.8,163.4,19.5,11.6,2011
1545,0,10,57.2,115.3,15.9,9.2,2011
1546,0,11,37.4,62.4,11.7,7.1,2011
1547,0,12,124.6,44.6,8.1,3.6,2011
1548,6,1,87.6,58.4,7.9,2.9,2012
1549,11,2,26.2,73.3,7.6,2.3,2012
1550,0,3,32.6,179.5,13.6,4.7,2012
1551,1,4,180.6,102.6,10.7,3.9,2012
1552,1,5,48.0,203.0,16.4,7.6,2012
1553,0,6,166.6,107.3,17.3,10.3,2012
1554,0,7,107.2,151.5,19.5,12.3,2012
1555,0,8,99.2,141.3,20.9,12.5,2012
1556,0,9,90.6,149.4,17.1,9.7,2012
1557,0,10,61.2,111.4,12.2,6.1,2012
1558,1,11,110.6,68.7,9.2,3.8,2012
1559,5,12,136.0,57.7,7.0,2.3,2012
1560,14,1,70.4,41.4,5.7,1.7,2013
1561,10,2,63.4,77.6,5.2,0.6,2013
1562,18,3,63.4,73.0,4.5,-0.2,2013
1563,4,4,9.2,152.6,11.9,4.0,2013
1564,0,5,84.2,176.9,15.5,6.9,2013
1565,0,6,37.8,177.6,18.8,10.1,2013
1566,0,7,56.6,243.5,24.0,13.7,2013
1567,0,8,33.4,144.4,21.6,13.1,2013
1568,0,9,47.2,119.8,17.5,10.2,2013
1569,0,10,136.2,73.5,14.9,9.6,2013
1570,1,11,56.6,82.3,9.1,3.9,2013
1571,0,12,69.8,58.2,9.1,3.9,2013
1572,4,1,124.2,48.9,7.8,3.0,2014
1573,1,2,106.2,82.4,8.5,3.5,2014
1574,2,3,48.6,137.2,11.6,4.2,2014
1575,0,4,60.4,119.3,14.2,6.7,2014
1576,0,5,123.8,143.9,16.6,8.5,2014
1577,0,6,45.4,142.0,19.4,11.4,2014
1578,0,7,20.0,236.6,23.2,13.3,2014
1579,0,8,67.4,177.3,19.3,11.5,2014
1580,0,9,9.6,107.4,18.4,10.9,2014
1581,0,10,60.8,83.6,14.9,9.0,2014
1582,0,11,95.8,48.0,10.5,6.0,2014
1583,3,12,102.0,75.8,7.7,3.3,2014
1584,8,1,84.2,68.1,6.9,2.2,2015
1585,5,2,35.4,80.8,6.9,2.0,2015
1586,1,3,71.4,114.8,9.8,3.2,2015
1587,0,4,21.4,223.5,14.3,5.0,2015
1588,0,5,83.6,164.4,14.8,7.7,2015
1589,0,6,43.2,195.9,19.1,10.0,2015
1590,0,7,30.0,187.8,20.8,12.0,2015
1591,0,8,66.2,146.3,20.6,12.5,2015
1592,0,9,29.2,141.1,16.9,8.7,2015
1593,0,10,80.4,81.3,13.9,7.7,2015
1594,1,11,126.8,51.7,12.2,6.5,2015
1595,0,12,121.2,33.1,12.0,6.2,2015
1596,3,1,111.5,40.3,7.7,3.0,2016
1597,5,2,68.6,96.1,7.8,2.0,2016
1598,2,3,87.2,98.6,9.1,2.9,2016
1599,1,4,65.8,154.9,11.6,3.8,2016
1600,0,5,58.2,164.5,16.9,7.9,2016
1601,0,6,130.4,106.5,18.8,11.1,2016
